PlayerName,Points
Jamal Mashburn,2
David Wesley,3
David Wesley,4
Bonzi Wells,4
Bonzi Wells,5
Damon Stoudamire,4
Derrick Coleman,2
Bonzi Wells,7
Rasheed Wallace,2
Greg Anthony,2
Rasheed Wallace,4
Baron Davis,2
Hersey Hawkins,2
Stacey Augmon,2
Greg Anthony,3
Greg Anthony,4
Greg Anthony,5
Otis Thorpe,2
Dale Davis,2
David Wesley,6
Steven Smith,1
Steven Smith,2
Stacey Augmon,3
Stacey Augmon,4
Baron Davis,4
Arvydas Sabonis,2
Baron Davis,6
Baron Davis,7
Jamal Mashburn,5
Arvydas Sabonis,4
David Wesley,8
Damon Stoudamire,7
P.J. Brown,2
David Wesley,10
Bonzi Wells,8
Bonzi Wells,9
Scottie Pippen,3
Damon Stoudamire,10
Baron Davis,10
Scottie Pippen,5
Derrick Coleman,3
Derrick Coleman,4
P.J. Brown,4
Scottie Pippen,8
Otis Thorpe,4
Jamal Mashburn,7
Jamal Mashburn,9
Damon Stoudamire,12
Bonzi Wells,11
Bonzi Wells,13
Jamal Mashburn,11
Jamal Mashburn,12
Rasheed Wallace,6
David Wesley,12
Bonzi Wells,14
Bonzi Wells,15
Bonzi Wells,16
Rasheed Wallace,8
Scottie Pippen,9
Scottie Pippen,10
Derrick Coleman,5
Rasheed Wallace,9
Rasheed Wallace,10
Dale Davis,4
Derrick Coleman,6
Derrick Coleman,7
Rasheed Wallace,11
Rasheed Wallace,12
Dale Davis,5
Stacey Augmon,6
Otis Thorpe,6
Lee Nailon,1
Lee Nailon,2
Arvydas Sabonis,5
Arvydas Sabonis,6
Lee Nailon,4
Steven Smith,3
Steven Smith,4
Lee Nailon,6
Arvydas Sabonis,7
Arvydas Sabonis,8
Greg Anthony,7
Greg Anthony,9
Otis Thorpe,7
Otis Thorpe,8
Will Perdue,2
Steven Smith,6
Otis Thorpe,10
Dale Davis,7
Lee Nailon,8
Stacey Augmon,7
Lee Nailon,10
Glenn Robinson,2
Glenn Robinson,4
Mark Pope,2
Adonal Foyle,2
Ray Allen,3
Ray Allen,5
Antawn Jamison,2
Glenn Robinson,6
Antawn Jamison,4
Glenn Robinson,8
Mookie Blaylock,2
Antawn Jamison,6
Glenn Robinson,10
Adonal Foyle,4
Jason Caffey,2
Glenn Robinson,12
Adonal Foyle,6
Sam Cassell,2
Jason Caffey,4
Jason Caffey,6
Antawn Jamison,7
Antawn Jamison,8
Corie Blount,2
Vonteego Cummings,2
Sam Cassell,4
Sam Cassell,5
Ervin Johnson,2
Tim Thomas,2
Corie Blount,4
Bob Sura,2
Sam Cassell,6
Sam Cassell,7
Bob Sura,4
Bob Sura,6
Bob Sura,8
Glenn Robinson,14
Mark Pope,4
Jerome Kersey,2
Adonal Foyle,8
Lindsey Hunter,2
Adonal Foyle,10
Jerome Kersey,4
Antawn Jamison,10
Lindsey Hunter,5
Ervin Johnson,3
Larry Hughes,1
Lindsey Hunter,8
Adonal Foyle,12
Ray Allen,7
Larry Hughes,3
Mookie Blaylock,4
Adonal Foyle,14
Antawn Jamison,12
Antawn Jamison,13
Larry Hughes,5
Jason Caffey,7
Jason Caffey,8
Glenn Robinson,16
Antawn Jamison,15
Antawn Jamison,16
Sam Cassell,9
Antawn Jamison,18
Glenn Robinson,18
Vonteego Cummings,4
Larry Hughes,6
Sam Cassell,11
Mark Pope,6
Mark Pope,8
Antawn Jamison,20
Larry Hughes,7
Bob Sura,10
Glenn Robinson,20
Bob Sura,12
Glenn Robinson,22
Jason Caffey,10
Vonteego Cummings,6
Jason Caffey,12
Mark Pope,9
Corie Blount,5
Corie Blount,6
Glenn Robinson,24
Sam Cassell,14
Mookie Blaylock,7
Glenn Robinson,27
Glenn Robinson,28
Glenn Robinson,29
Antawn Jamison,22
Jason Caffey,14
Jason Caffey,15
Glenn Robinson,30
Glenn Robinson,31
Glenn Robinson,33
Corie Blount,7
Ray Allen,10
Corie Blount,9
Antawn Jamison,24
Antawn Jamison,25
Antawn Jamison,26
Larry Hughes,9
